Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980205625					7980205625							"Запчасти и аксессуары"	"Двигатель Kia Ceed G4FA
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_ceed_g4fa_7980205625"							"Двигатель Kia Ceed G4FA"										81000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980205070					7980205070							"Запчасти и аксессуары"	"Двигатель Hyundai Coupe G4ED в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_hyundai_coupe_g4ed_v_nalichii_7980205070"							"Двигатель Hyundai Coupe G4ED в наличии"										108000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980204261					7980204261							"Запчасти и аксессуары"	"Двигатель Vortex Estina SQR481F в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_vortex_estina_sqr481f_v_nalichii_7980204261"							"Двигатель Vortex Estina SQR481F в наличии"										116100							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980201520					7980201520							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KD в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4kd_v_nalichii_7980201520"							"Двигатель Kia Sportage G4KD в наличии"										135000							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			7980201388					7980201388							"Запчасти и аксессуары"	"Двигатель кiа Sроrtage G4NA в наличии
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_kia_srortage_g4na_v_nalichii_7980201388"							"Двигатель кiа Sроrtage G4NA в наличии"										135000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980198969					7980198969							"Запчасти и аксессуары"	"Двигатель Kia Cerato G4ED в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_cerato_g4ed_v_nalichii_7980198969"							"Двигатель Kia Cerato G4ED в наличии"										108000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980198029					7980198029							"Запчасти и аксессуары"	"Двигатель Kia Sorento G4KE в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_sorento_g4ke_v_nalichii_7980198029"							"Двигатель Kia Sorento G4KE в наличии"										135000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980197828					7980197828							"Запчасти и аксессуары"	"Двигатель Chery V2 SQR473F в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_chery_v2_sqr473f_v_nalichii_7980197828"							"Двигатель Chery V2 SQR473F в наличии"										94500							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980197253					7980197253							"Запчасти и аксессуары"	"Двигатель Hyundai ix35 G4KE
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_hyundai_ix35_g4ke_7980197253"							"Двигатель Hyundai ix35 G4KE"										135000							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980194219					7980194219							"Запчасти и аксессуары"	"Двигатель Kia Cerato G4GC в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_kia_cerato_g4gc_v_nalichii_7980194219"							"Двигатель Kia Cerato G4GC в наличии"										115200							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980190817					7980190817							"Запчасти и аксессуары"	"Двигатель Vortex Corda SQR477F в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_vortex_corda_sqr477f_v_nalichii_7980190817"							"Двигатель Vortex Corda SQR477F в наличии"										94500							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			7980190313					7980190313							"Запчасти и аксессуары"	"Двигатель Lifan Solano LF481Q3
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_lifan_solano_lf481q3_7980190313"							"Двигатель Lifan Solano LF481Q3"										99000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980189430					7980189430							"Запчасти и аксессуары"	"Двигатель Geely Coolray JLH-3G15TD
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_geely_coolray_jlh-3g15td_7980189430"							"Двигатель Geely Coolray JLH-3G15TD"										136800							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980189003					7980189003							"Запчасти и аксессуары"	"Двигатель Geely Atlas JLH-3G15TD в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_geely_atlas_jlh-3g15td_v_nalichii_7980189003"							"Двигатель Geely Atlas JLH-3G15TD в наличии"										136800							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980188581					7980188581							"Запчасти и аксессуары"	"Двигатель Mitsubishi Kuda 4G18 в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_mitsubishi_kuda_4g18_v_nalichii_7980188581"							"Двигатель Mitsubishi Kuda 4G18 в наличии"										85500							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980188432					7980188432							"Запчасти и аксессуары"	"Двигатель Lifan Solano LF481Q3 в наличии
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_lifan_solano_lf481q3_v_nalichii_7980188432"							"Двигатель Lifan Solano LF481Q3 в наличии"										99000							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980185277					7980185277							"Запчасти и аксессуары"	"Двигатель Kia Rio G4EE в наличии
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_kia_rio_g4ee_v_nalichii_7980185277"							"Двигатель Kia Rio G4EE в наличии"										108000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980182548					7980182548							"Запчасти и аксессуары"	"Двигатель Mitsubishi Lancer 4G18 в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_mitsubishi_lancer_4g18_v_nalichii_7980182548"							"Двигатель Mitsubishi Lancer 4G18 в наличии"										85500							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980181469					7980181469							"Запчасти и аксессуары"	"Двигатель Hyundai Elantra G4GC в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_hyundai_elantra_g4gc_v_nalichii_7980181469"							"Двигатель Hyundai Elantra G4GC в наличии"										115200							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980179803					7980179803							"Запчасти и аксессуары"	"Двигатель Chery Eastar SQR481FC в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_chery_eastar_sqr481fc_v_nalichii_7980179803"							"Двигатель Chery Eastar SQR481FC в наличии"										116100							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			7980176882					7980176882							"Запчасти и аксессуары"	"Двигатель Lifan Breez LF479Q3
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_lifan_breez_lf479q3_7980176882"							"Двигатель Lifan Breez LF479Q3"										94990							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980176724					7980176724							"Запчасти и аксессуары"	"Двигатель Kia Cerato G4ED в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_cerato_g4ed_v_nalichii_7980176724"							"Двигатель Kia Cerato G4ED в наличии"										108000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980174821					7980174821							"Запчасти и аксессуары"	"Двигатель Kia Ceed G4FA в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_ceed_g4fa_v_nalichii_7980174821"							"Двигатель Kia Ceed G4FA в наличии"										81000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980173484					7980173484							"Запчасти и аксессуары"	"Двигатель Lifan Solano LF481Q3
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_lifan_solano_lf481q3_7980173484"							"Двигатель Lifan Solano LF481Q3"										99000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980171165					7980171165							"Запчасти и аксессуары"	"Двигатель Hyundai Sonata G4GC
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_hyundai_sonata_g4gc_7980171165"							"Двигатель Hyundai Sonata G4GC"										115200							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980169503					7980169503							"Запчасти и аксессуары"	"Двигатель Hyundai Matrix G4ED
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_hyundai_matrix_g4ed_7980169503"							"Двигатель Hyundai Matrix G4ED"										108000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980169400					7980169400							"Запчасти и аксессуары"	"Двигатель Vortex Estina SQR477F в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_vortex_estina_sqr477f_v_nalichii_7980169400"							"Двигатель Vortex Estina SQR477F в наличии"										94500							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980166942					7980166942							"Запчасти и аксессуары"	"Двигатель Hyundai i20 G4FC в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_hyundai_i20_g4fc_v_nalichii_7980166942"							"Двигатель Hyundai i20 G4FC в наличии"										81000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980159121					7980159121							"Запчасти и аксессуары"	"Двигатель кiа Сeratо G4NA
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_serato_g4na_7980159121"							"Двигатель кiа Сeratо G4NA"										135000							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980158066					7980158066							"Запчасти и аксессуары"	"Двигатель Hyundai Sonata G4GC
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_hyundai_sonata_g4gc_7980158066"							"Двигатель Hyundai Sonata G4GC"										115200							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980156839					7980156839							"Запчасти и аксессуары"	"Двигатель Kia Cadenza G4KE в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_cadenza_g4ke_v_nalichii_7980156839"							"Двигатель Kia Cadenza G4KE в наличии"										135000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980156710					7980156710							"Запчасти и аксессуары"	"Двигатель Kia Magentis G4KE в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_magentis_g4ke_v_nalichii_7980156710"							"Двигатель Kia Magentis G4KE в наличии"										135000							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980156286					7980156286							"Запчасти и аксессуары"	"Двигатель Geely Emgrand JL4G18 в наличии
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_geely_emgrand_jl4g18_v_nalichii_7980156286"							"Двигатель Geely Emgrand JL4G18 в наличии"										135000							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980153823					7980153823							"Запчасти и аксессуары"	"Двигатель Geely Vision JL4G18 в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_geely_vision_jl4g18_v_nalichii_7980153823"							"Двигатель Geely Vision JL4G18 в наличии"										135000							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980153428					7980153428							"Запчасти и аксессуары"	"Двигатель Kia ProCeed G4GC в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_proceed_g4gc_v_nalichii_7980153428"							"Двигатель Kia ProCeed G4GC в наличии"										115200							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980151007					7980151007							"Запчасти и аксессуары"	"Двигатель Zaz Lanos SQR477F в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_zaz_lanos_sqr477f_v_nalichii_7980151007"							"Двигатель Zaz Lanos SQR477F в наличии"										94500							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980148004					7980148004							"Запчасти и аксессуары"	"Двигатель Chery QQ6 SQR473F в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_chery_qq6_sqr473f_v_nalichii_7980148004"							"Двигатель Chery QQ6 SQR473F в наличии"										94500							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980147648					7980147648							"Запчасти и аксессуары"	"Двигатель Chery Tiggo SQR481F
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqr481f_7980147648"							"Двигатель Chery Tiggo SQR481F"										116100							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980147188					7980147188							"Запчасти и аксессуары"	"Двигатель Hyundai Santa Fe G4KE в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_hyundai_santa_fe_g4ke_v_nalichii_7980147188"							"Двигатель Hyundai Santa Fe G4KE в наличии"										135000							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980146560					7980146560							"Запчасти и аксессуары"	"Двигатель Chery Eastar Cross SQR481FC
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_chery_eastar_cross_sqr481fc_7980146560"							"Двигатель Chery Eastar Cross SQR481FC"										116100							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980139935					7980139935							"Запчасти и аксессуары"	"Двигатель Kia Cerato G4FC в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_cerato_g4fc_v_nalichii_7980139935"							"Двигатель Kia Cerato G4FC в наличии"										81000							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			7980139704					7980139704							"Запчасти и аксессуары"	"Двигатель Kia Venga G4FC в наличии
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_kia_venga_g4fc_v_nalichii_7980139704"							"Двигатель Kia Venga G4FC в наличии"										81000							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980135208					7980135208							"Запчасти и аксессуары"	"Двигатель Hyundai i20 G4FA в наличии
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_hyundai_i20_g4fa_v_nalichii_7980135208"							"Двигатель Hyundai i20 G4FA в наличии"										81000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980133237					7980133237							"Запчасти и аксессуары"	"Двигатель кiа К5 G4NA в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_k5_g4na_v_nalichii_7980133237"							"Двигатель кiа К5 G4NA в наличии"										135000							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980133186					7980133186							"Запчасти и аксессуары"	"Двигатель Geely Emgrand JL4G18 в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_geely_emgrand_jl4g18_v_nalichii_7980133186"							"Двигатель Geely Emgrand JL4G18 в наличии"										135000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980131291					7980131291							"Запчасти и аксессуары"	"Двигатель Chery Tiggo SQR481FC в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_chery_tiggo_sqr481fc_v_nalichii_7980131291"							"Двигатель Chery Tiggo SQR481FC в наличии"										116100							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980126861					7980126861							"Запчасти и аксессуары"	"Двигатель Hyundai Solaris G4FA в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_hyundai_solaris_g4fa_v_nalichii_7980126861"							"Двигатель Hyundai Solaris G4FA в наличии"										81000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980125163					7980125163							"Запчасти и аксессуары"	"Двигатель Lifan Breez LF479Q3 в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_lifan_breez_lf479q3_v_nalichii_7980125163"							"Двигатель Lifan Breez LF479Q3 в наличии"										94990							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980124079					7980124079							"Запчасти и аксессуары"	"Двигатель Kia Carens G4GC в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_carens_g4gc_v_nalichii_7980124079"							"Двигатель Kia Carens G4GC в наличии"										115200							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980123073					7980123073							"Запчасти и аксессуары"	"Двигатель Kia Rio G4EE в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_kia_rio_g4ee_v_nalichii_7980123073"							"Двигатель Kia Rio G4EE в наличии"										108000							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980120604					7980120604							"Запчасти и аксессуары"	"Двигатель Kia Magentis G4KE в наличии
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_kia_magentis_g4ke_v_nalichii_7980120604"							"Двигатель Kia Magentis G4KE в наличии"										135000							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980119663					7980119663							"Запчасти и аксессуары"	"Двигатель Vortex Tingo SQR481FC в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_vortex_tingo_sqr481fc_v_nalichii_7980119663"							"Двигатель Vortex Tingo SQR481FC в наличии"										116100							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980117166					7980117166							"Запчасти и аксессуары"	"Двигатель Geely Emgrand JL4G15D в наличии
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_geely_emgrand_jl4g15d_v_nalichii_7980117166"							"Двигатель Geely Emgrand JL4G15D в наличии"										135000							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980114136					7980114136							"Запчасти и аксессуары"	"Двигатель Great Wall 4G64S4N в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_great_wall_4g64s4n_v_nalichii_7980114136"							"Двигатель Great Wall 4G64S4N в наличии"										89100							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980112562					7980112562							"Запчасти и аксессуары"	"Двигатель Chery Fulwin SQR477F в наличии
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_chery_fulwin_sqr477f_v_nalichii_7980112562"							"Двигатель Chery Fulwin SQR477F в наличии"										94500							new																
"Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2"			7980110297					7980110297							"Запчасти и аксессуары"	"Двигатель Chery Eastar SQR481FC
Город: Челябинская обл., Челябинский г.о., Челябинск, Краснопольский пр-т, 1/2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_chery_eastar_sqr481fc_7980110297"							"Двигатель Chery Eastar SQR481FC"										116100							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980109384					7980109384							"Запчасти и аксессуары"	"Двигатель Geely Okavango JLH-3G15TD в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_geely_okavango_jlh-3g15td_v_nalichii_7980109384"							"Двигатель Geely Okavango JLH-3G15TD в наличии"										136800							new																
"Республика Крым, Симферополь, ул. Героев Сталинграда, 10"			7980108844					7980108844							"Запчасти и аксессуары"	"Двигатель Kia Rio G4FG в наличии
Город: Республика Крым, Симферополь, ул. Героев Сталинграда, 10
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_kia_rio_g4fg_v_nalichii_7980108844"							"Двигатель Kia Rio G4FG в наличии"										103500							new																
"Самарская обл., Самара, ул. Авроры, 110к3"			7980106450					7980106450							"Запчасти и аксессуары"	"Двигатель Mitsubishi Lancer 4G18
Город: Самарская обл., Самара, ул. Авроры, 110к3
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/samara/zapchasti_i_aksessuary/dvigatel_mitsubishi_lancer_4g18_7980106450"							"Двигатель Mitsubishi Lancer 4G18"										85500							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			7980105286					7980105286							"Запчасти и аксессуары"	"Двигатель Kia Sportage G4KD в наличии
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_kia_sportage_g4kd_v_nalichii_7980105286"							"Двигатель Kia Sportage G4KD в наличии"										135000							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			7980104401					7980104401							"Запчасти и аксессуары"	"Двигатель Lifan Solano LFB479Q
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_lifan_solano_lfb479q_7980104401"							"Двигатель Lifan Solano LFB479Q"										130500							new																
